Student_ID,Student_Name,Class,Board,Target_Exam,Medium,Admission_Date,Study_Mode
STU0023,Kashvi Choudhury,Class 11,CBSE,JEE,Hindi,2026-03-24,Hybrid
STU0024,Hardik Dara,Class 11,State Board,Foundation,Tamil,2025-09-02,Hybrid
STU0025,Naveen Aggarwal,Class 12,ICSE,JEE,English,2024-11-01,Hybrid
STU0026,Gagan Samra,Class 12,CBSE,JEE,English,2025-01-19,Online
STU0027,Udant Vaidya,Class 10,State Board,NEET,Hindi,2026-03-08,Online
STU0028,Orinder Cherian,Class 12,ICSE,Foundation,Tamil,2026-05-16,Hybrid
STU0029,Ranbir Mandal,Class 11,State Board,JEE,Hindi,2025-09-15,Hybrid
STU0030,Tanay Sampath,Class 9,State Board,Foundation,Tamil,2026-03-03,Hybrid
STU0031,Janya Dhingra,Class 11,CBSE,NEET,Tamil,2024-11-14,Online
STU0032,Nimrat Purohit,Class 12,CBSE,Foundation,Hindi,2024-09-23,Offline
STU0033,Chaitanya Gill,Class 10,State Board,JEE,Hindi,2026-06-02,Offline
STU0034,Varsha Lad,Class 10,CBSE,NEET,English,2026-02-10,Hybrid
STU0035,Nandini Bal,Class 9,State Board,NEET,Tamil,2025-12-02,Online
STU0036,Wridesh Kanda,Class 9,ICSE,NEET,English,2025-11-17,Online
STU0037,Dalbir Sampath,Class 10,State Board,JEE,English,2025-12-21,Hybrid
STU0038,Ekansh Chaudhari,Class 12,CBSE,Foundation,English,2026-04-12,Online
STU0039,Qabil Kashyap,Class 12,State Board,JEE,Tamil,2025-05-13,Hybrid
STU0040,Zayan Gola,Class 12,CBSE,Foundation,Hindi,2024-12-28,Hybrid
STU0041,Zilmil Tailor,Class 10,State Board,NEET,Tamil,2025-05-02,Hybrid
STU0042,Ladli Arya,Class 11,ICSE,Foundation,Tamil,2024-12-17,Online
STU0043,Ishita Vasa,Class 10,CBSE,JEE,Tamil,2024-09-28,Online
STU0044,Tara Varughese,Class 10,State Board,JEE,English,2026-06-27,Online
STU0045,Tamanna Viswanathan,Class 9,CBSE,JEE,English,2025-01-22,Offline
STU0046,Madhavi Sama,Class 9,State Board,JEE,Tamil,2025-08-14,Hybrid
STU0047,Nitesh Pandya,Class 12,CBSE,Foundation,English,2026-04-28,Hybrid
STU0048,Chameli Chanda,Class 12,CBSE,NEET,Tamil,2024-10-08,Online
STU0049,Ryan Borra,Class 9,CBSE,Foundation,Tamil,2025-02-15,Offline
STU0050,Dev Morar,Class 12,ICSE,NEET,Hindi,2025-06-30,Online
STU0051,Vedhika Koshy,Class 9,CBSE,NEET,Hindi,2025-10-17,Offline
STU0052,Vritti Edwin,Class 9,CBSE,JEE,English,2025-01-05,Hybrid
STU0053,Janani Nazareth,Class 12,CBSE,NEET,English,2025-12-24,Offline
STU0054,Viraj Chahal,Class 12,CBSE,JEE,Tamil,2025-07-21,Hybrid
STU0055,Kalpit Shankar,Class 9,CBSE,Foundation,Hindi,2025-07-29,Online
STU0056,Zashil Bakshi,Class 9,CBSE,JEE,Tamil,2025-12-29,Offline
STU0057,Nakul Wali,Class 12,CBSE,NEET,English,2024-11-28,Online
STU0058,Megha Hegde,Class 12,CBSE,NEET,Tamil,2024-11-25,Offline
STU0059,Ikbal Khatri,Class 11,ICSE,Foundation,Hindi,2024-11-23,Hybrid
STU0060,Sanaya Lala,Class 12,CBSE,JEE,Tamil,2026-05-31,Online
STU0061,Anthony Cherian,Class 9,State Board,Foundation,Hindi,2024-11-19,Online
STU0062,Viraj Bakshi,Class 11,CBSE,JEE,Hindi,2024-08-24,Offline
STU0063,Veer Nagar,Class 10,CBSE,Foundation,English,2024-11-02,Online
STU0064,Fariq Apte,Class 9,State Board,JEE,Hindi,2024-08-11,Online
STU0065,Ikbal Naidu,Class 12,CBSE,Foundation,English,2025-10-12,Hybrid
STU0066,Isaiah Dhingra,Class 9,State Board,JEE,Tamil,2025-05-31,Hybrid
STU0067,Hiral Acharya,Class 11,ICSE,JEE,Hindi,2024-12-15,Hybrid
STU0068,Balendra Dube,Class 11,CBSE,NEET,Tamil,2025-06-01,Online
STU0069,Tarak Narain,Class 11,ICSE,NEET,English,2025-12-11,Online
STU0070,Frado Raju,Class 12,State Board,Foundation,English,2026-02-24,Online
STU0071,Kalpit Virk,Class 10,State Board,NEET,English,2025-04-28,Offline
STU0072,Siddharth Dhawan,Class 9,CBSE,NEET,Tamil,2026-04-10,Online
STU0073,Harish Sethi,Class 12,State Board,Foundation,Tamil,2025-04-29,Hybrid
STU0074,Nimrat Lal,Class 9,State Board,Foundation,Tamil,2025-03-15,Hybrid
STU0075,Janaki Varma,Class 9,CBSE,NEET,English,2025-04-20,Online
STU0076,Yahvi Khalsa,Class 10,ICSE,NEET,Hindi,2024-08-12,Online
STU0077,Janani Chaudhry,Class 11,CBSE,Foundation,Hindi,2026-06-25,Offline
STU0078,Vivaan Vasa,Class 12,ICSE,JEE,English,2025-07-06,Hybrid
STU0079,Hritik Kala,Class 12,ICSE,JEE,English,2025-01-20,Offline
STU0080,Gavin Gour,Class 10,State Board,NEET,English,2025-03-20,Hybrid
STU0081,Tamanna Bajwa,Class 12,State Board,Foundation,Tamil,2025-01-27,Hybrid
STU0082,Pooja Pall,Class 9,CBSE,JEE,Hindi,2026-07-24,Online
STU0083,Mekhala Shroff,Class 9,ICSE,Foundation,Hindi,2025-12-08,Online
STU0084,Praneel Murty,Class 12,CBSE,JEE,Tamil,2025-03-15,Offline
STU0085,Anirudh Sha,Class 9,ICSE,JEE,Hindi,2026-04-02,Online
STU0086,Atharv Saraf,Class 9,ICSE,Foundation,Tamil,2025-04-19,Hybrid
STU0087,Jason Bedi,Class 10,CBSE,JEE,English,2026-05-20,Offline
STU0088,Girish Lalla,Class 9,CBSE,Foundation,Tamil,2026-07-10,Offline
STU0089,Wishi Shah,Class 10,ICSE,JEE,Hindi,2025-10-15,Online
STU0090,Kashish Devan,Class 12,CBSE,NEET,English,2026-07-23,Online
STU0091,Frado Uppal,Class 12,ICSE,NEET,English,2026-01-07,Online
STU0092,Harshil Comar,Class 9,State Board,JEE,Tamil,2025-12-14,Offline
STU0093,Aryan Vyas,Class 11,CBSE,NEET,Tamil,2025-06-19,Hybrid
STU0094,Aarnav Shroff,Class 12,State Board,Foundation,Tamil,2024-10-01,Online
STU0095,Vansha Menon,Class 9,ICSE,JEE,Hindi,2026-05-30,Offline
STU0096,Orinder Nazareth,Class 9,CBSE,Foundation,Tamil,2025-03-12,Offline
STU0097,Girish Wable,Class 11,ICSE,Foundation,Hindi,2026-02-12,Online
STU0098,Laksh Pai,Class 12,State Board,JEE,Tamil,2024-10-16,Online
STU0099,Siddharth Nadig,Class 12,CBSE,Foundation,Hindi,2024-08-08,Hybrid
STU0100,Jagrati Sami,Class 10,ICSE,NEET,English,2025-06-09,Hybrid
STU0101,Dayita Krishna,Class 11,State Board,NEET,Hindi,2025-03-29,Online
STU0102,Niharika Banik,Class 11,State Board,NEET,Hindi,2026-05-21,Offline
STU0103,Leela Jani,Class 11,ICSE,Foundation,Tamil,2025-05-17,Hybrid
STU0104,Faras Dhingra,Class 10,CBSE,NEET,Hindi,2025-10-16,Offline
STU0105,Netra Bhatti,Class 10,State Board,Foundation,Tamil,2025-04-23,Offline
STU0106,Darsh Gara,Class 9,ICSE,NEET,English,2025-11-21,Offline
STU0107,Yug Tiwari,Class 11,ICSE,NEET,Tamil,2026-02-08,Hybrid
STU0108,Urvi Bandi,Class 10,State Board,NEET,Hindi,2024-12-28,Online
STU0109,Vyanjana Ravel,Class 9,ICSE,Foundation,Hindi,2025-01-09,Hybrid
STU0110,Anamika Padmanabhan,Class 11,CBSE,JEE,Hindi,2024-09-29,Offline
STU0111,Max Sahni,Class 10,CBSE,JEE,English,2025-08-28,Online
STU0112,Dipta Mukhopadhyay,Class 10,ICSE,Foundation,English,2026-06-19,Offline
STU0113,Tejas Narayanan,Class 12,State Board,Foundation,English,2025-09-06,Hybrid
STU0114,Mahika Sidhu,Class 12,ICSE,NEET,English,2025-05-29,Online
STU0115,Darsh Mitra,Class 9,CBSE,NEET,English,2025-02-13,Online
STU0116,Varenya Wali,Class 12,CBSE,Foundation,English,2025-08-17,Online
STU0117,George Chatterjee,Class 12,CBSE,NEET,Hindi,2025-01-22,Hybrid
STU0118,Azaan Panchal,Class 11,ICSE,Foundation,Hindi,2025-04-02,Hybrid
STU0119,Warhi Khalsa,Class 12,State Board,NEET,English,2026-05-15,Hybrid
STU0120,Deepa Lad,Class 12,ICSE,NEET,English,2025-09-07,Hybrid
STU0121,Noah Kothari,Class 11,State Board,NEET,Hindi,2026-01-02,Online
STU0122,Eshana Bajwa,Class 11,ICSE,JEE,Hindi,2024-11-04,Offline
STU0123,Advaith Talwar,Class 10,ICSE,NEET,Tamil,2024-08-29,Hybrid
STU0124,Tamanna Pau,Class 9,CBSE,JEE,English,2025-09-06,Offline
STU0125,Tara Das,Class 10,State Board,JEE,English,2026-02-25,Offline
STU0126,Tejas Lala,Class 12,ICSE,Foundation,Tamil,2026-06-21,Offline
STU0127,Ekbal Deep,Class 9,CBSE,NEET,Tamil,2025-10-02,Hybrid
STU0128,Anamika Sarkar,Class 9,State Board,NEET,Tamil,2024-07-24,Online
STU0129,Vidhi Viswanathan,Class 11,ICSE,NEET,Tamil,2025-05-13,Hybrid
STU0130,Mohini Krishnan,Class 10,ICSE,JEE,Tamil,2026-06-13,Offline
STU0131,Dev Krishna,Class 12,CBSE,NEET,Tamil,2025-05-25,Hybrid
STU0132,Wyatt Doctor,Class 12,State Board,JEE,Tamil,2025-04-08,Online
STU0133,Reva Venkataraman,Class 9,ICSE,Foundation,Hindi,2026-02-28,Hybrid
STU0134,Warhi Kalla,Class 9,CBSE,Foundation,Tamil,2025-10-08,Online
STU0135,Noah Goswami,Class 12,CBSE,JEE,Tamil,2024-12-25,Offline
STU0136,Tanmayi Ghosh,Class 11,CBSE,NEET,Tamil,2026-01-26,Offline
STU0137,Laksh Nori,Class 12,ICSE,NEET,Tamil,2024-12-03,Online
STU0138,Ati Mukhopadhyay,Class 12,CBSE,Foundation,Hindi,2024-08-21,Online
STU0139,Laksh Singhal,Class 11,CBSE,Foundation,English,2026-07-06,Hybrid
STU0140,Megha Bhavsar,Class 9,CBSE,JEE,English,2024-09-18,Online
STU0141,Manbir Suresh,Class 10,CBSE,JEE,Tamil,2024-11-14,Hybrid
STU0142,Qabil Bhatnagar,Class 9,State Board,JEE,Tamil,2024-10-25,Hybrid
STU0143,Tara Chopra,Class 11,ICSE,JEE,Hindi,2024-11-27,Hybrid
STU0144,Andrew Batta,Class 9,CBSE,NEET,English,2026-06-19,Hybrid
STU0145,Pooja Choudhry,Class 9,ICSE,Foundation,Hindi,2024-11-04,Offline
STU0146,Aditya Dhawan,Class 12,State Board,JEE,English,2026-04-03,Hybrid
STU0147,Jagvi Bhatti,Class 10,CBSE,Foundation,Tamil,2025-07-11,Hybrid
STU0148,Logan Narasimhan,Class 9,State Board,JEE,Tamil,2025-05-13,Hybrid
STU0149,Finn Ramaswamy,Class 12,State Board,NEET,English,2024-10-30,Hybrid
STU0150,Vritti Solanki,Class 11,CBSE,NEET,Tamil,2025-09-10,Online
STU0151,Samarth Dubey,Class 12,ICSE,Foundation,Tamil,2024-08-12,Hybrid
STU0152,Lila Dalal,Class 10,ICSE,JEE,Hindi,2025-05-24,Hybrid
STU0153,Sarthak Dewan,Class 11,State Board,Foundation,Tamil,2024-08-06,Offline
STU0154,Champak Din,Class 12,State Board,Foundation,Tamil,2024-09-08,Offline
STU0155,Bakhshi Ramakrishnan,Class 10,CBSE,NEET,Tamil,2026-05-10,Online
STU0156,Simon Lanka,Class 12,State Board,Foundation,Hindi,2024-10-05,Offline
STU0157,Darika Savant,Class 11,CBSE,NEET,Tamil,2026-06-27,Online
STU0158,Samarth Talwar,Class 12,CBSE,NEET,Tamil,2025-03-20,Offline
STU0159,Jeremiah Karan,Class 11,State Board,Foundation,Tamil,2025-11-28,Hybrid
STU0160,Ishani Sibal,Class 9,State Board,JEE,English,2025-12-03,Online
STU0161,Faris Sarraf,Class 12,ICSE,Foundation,English,2025-12-07,Hybrid
STU0162,Onveer Brahmbhatt,Class 12,State Board,Foundation,Tamil,2025-02-22,Offline
STU0163,Nilima Sani,Class 9,CBSE,NEET,English,2026-05-28,Offline
STU0164,Yash Chaudry,Class 10,ICSE,Foundation,Hindi,2026-04-28,Offline
STU0165,Mohini Ramakrishnan,Class 12,State Board,Foundation,Tamil,2025-09-17,Offline
STU0166,Pushti Palla,Class 11,ICSE,Foundation,Tamil,2026-03-05,Offline
STU0167,Ridhi Patla,Class 11,ICSE,JEE,English,2025-11-19,Hybrid
STU0168,Yachana Chand,Class 10,ICSE,JEE,Hindi,2024-07-31,Hybrid
STU0169,Qadim Minhas,Class 10,CBSE,JEE,Hindi,2024-10-08,Offline
STU0170,Ayushman Soni,Class 11,State Board,Foundation,Hindi,2026-03-30,Hybrid
STU0171,Arunima Andra,Class 11,CBSE,JEE,Tamil,2025-03-20,Online
STU0172,Azaan Borah,Class 11,CBSE,NEET,English,2026-01-28,Hybrid
STU0173,Nakul Lad,Class 10,ICSE,JEE,English,2026-03-13,Hybrid
STU0174,Kashish Dube,Class 11,State Board,JEE,Hindi,2025-05-30,Offline
STU0175,Hiral Chawla,Class 9,CBSE,Foundation,Tamil,2026-06-07,Offline
STU0176,Niharika Chopra,Class 12,ICSE,NEET,English,2026-06-02,Online
STU0177,Diya Dewan,Class 11,ICSE,JEE,English,2025-07-24,Offline
STU0178,Bahadurjit Nagarajan,Class 12,CBSE,Foundation,Hindi,2024-09-04,Hybrid
STU0179,Januja Krishnan,Class 9,CBSE,JEE,Hindi,2026-05-05,Offline
STU0180,Chatura Gole,Class 9,CBSE,JEE,Hindi,2026-02-01,Offline
STU0181,Thomas Karnik,Class 10,State Board,NEET,Tamil,2025-02-25,Offline
STU0182,Yashica Arya,Class 11,State Board,NEET,Tamil,2026-04-02,Hybrid
STU0183,Lajita Bajwa,Class 9,State Board,Foundation,English,2026-05-25,Online
STU0184,Caleb Soni,Class 10,ICSE,Foundation,English,2025-01-13,Online
STU0185,Chaitanya Virk,Class 10,CBSE,Foundation,English,2025-06-12,Online
STU0186,Urmi Mahajan,Class 9,ICSE,NEET,Hindi,2026-06-10,Hybrid
STU0187,Maanas Prashad,Class 12,ICSE,JEE,English,2024-11-23,Offline
STU0188,Onkar Bhagat,Class 11,State Board,NEET,English,2025-05-15,Hybrid
STU0189,Jagdish Handa,Class 10,ICSE,Foundation,Hindi,2025-05-31,Hybrid
STU0190,Urmi Varkey,Class 10,ICSE,JEE,Hindi,2025-07-08,Online
STU0191,Yagnesh Mall,Class 10,ICSE,JEE,English,2025-01-13,Online
STU0192,Balvan Parekh,Class 10,ICSE,Foundation,Hindi,2024-08-23,Hybrid
STU0193,Benjamin Panchal,Class 11,ICSE,JEE,Tamil,2025-03-27,Hybrid
STU0194,Sarthak Prabhakar,Class 11,State Board,NEET,Tamil,2026-02-27,Hybrid
STU0195,Vrishti Kalla,Class 12,ICSE,JEE,Hindi,2024-11-15,Online
STU0196,Tamanna Balasubramanian,Class 12,State Board,NEET,Hindi,2024-11-24,Offline
STU0197,Triveni Ratta,Class 9,CBSE,JEE,Hindi,2026-07-19,Hybrid
STU0198,Laksh Hayer,Class 9,State Board,NEET,Hindi,2025-09-24,Online
STU0199,Watika Kalla,Class 10,ICSE,Foundation,Hindi,2025-05-31,Offline
STU0200,Upadhriti Brahmbhatt,Class 11,CBSE,Foundation,Tamil,2025-02-17,Hybrid
STU0201,Ishanvi Bora,Class 12,CBSE,NEET,Tamil,2026-02-06,Offline
STU0202,Balhaar Mander,Class 11,ICSE,Foundation,English,2025-12-13,Online
STU0203,Sudiksha Panchal,Class 11,ICSE,Foundation,Tamil,2026-04-01,Offline
STU0204,Jeremiah Nath,Class 12,State Board,JEE,Tamil,2026-01-07,Online
STU0205,Varenya Mittal,Class 11,ICSE,NEET,English,2024-11-04,Offline
STU0206,Edhitha Borde,Class 9,State Board,Foundation,Tamil,2024-07-25,Offline
STU0207,Adweta Modi,Class 9,CBSE,Foundation,Tamil,2024-11-02,Hybrid
STU0208,Osha Agate,Class 12,State Board,NEET,English,2026-07-23,Online
STU0209,Azad Aggarwal,Class 11,State Board,JEE,Tamil,2026-06-29,Offline
STU0210,Lakshit Vohra,Class 12,CBSE,JEE,Hindi,2025-12-09,Hybrid
STU0211,Lila Ramesh,Class 10,State Board,JEE,Tamil,2024-10-31,Hybrid
STU0212,Vanya Kunda,Class 9,State Board,NEET,English,2024-12-12,Online
STU0213,Damini Parmer,Class 9,ICSE,JEE,Hindi,2026-02-08,Online
STU0214,Bhavika Wali,Class 12,State Board,NEET,Hindi,2026-06-13,Hybrid
STU0215,Ayush Dhar,Class 11,ICSE,NEET,Tamil,2025-01-30,Online
STU0216,Chandran Butala,Class 12,State Board,JEE,Tamil,2025-08-02,Online
STU0217,Pooja Khalsa,Class 10,CBSE,NEET,Tamil,2025-10-30,Offline
STU0218,Krish Savant,Class 11,CBSE,NEET,Hindi,2024-11-02,Offline
STU0219,Ati Saha,Class 12,CBSE,NEET,Hindi,2026-06-14,Offline
STU0220,Matthew Bahri,Class 11,ICSE,Foundation,Hindi,2025-12-10,Offline
STU0221,Darpan Chandran,Class 12,ICSE,JEE,Hindi,2024-10-24,Online
STU0222,Arin Gopal,Class 12,CBSE,NEET,English,2026-05-09,Offline
STU0223,Max Dixit,Class 12,State Board,NEET,Tamil,2025-09-26,Hybrid
STU0224,Zashil Kata,Class 10,ICSE,JEE,English,2026-06-04,Hybrid
STU0225,Kashvi Narayan,Class 11,CBSE,NEET,English,2025-05-14,Hybrid
STU0226,Hitesh Dalal,Class 12,CBSE,Foundation,English,2025-05-30,Offline
STU0227,Faras Luthra,Class 10,CBSE,NEET,Tamil,2026-01-06,Offline
STU0228,Vanya Sood,Class 12,State Board,JEE,Tamil,2024-08-28,Hybrid
STU0229,Sanaya Bahri,Class 12,ICSE,Foundation,Hindi,2026-05-30,Offline
STU0230,Nitara Mittal,Class 9,State Board,JEE,English,2026-02-16,Hybrid
STU0231,Upadhriti Kapur,Class 11,CBSE,Foundation,English,2026-02-24,Offline
STU0232,Falguni Babu,Class 9,State Board,Foundation,English,2025-10-30,Offline
STU0233,Jagdish Verma,Class 10,State Board,NEET,English,2025-10-25,Online
STU0234,Chameli Warrior,Class 11,CBSE,NEET,Tamil,2024-08-01,Offline
STU0235,Yuvraj Kala,Class 12,CBSE,JEE,Hindi,2025-12-11,Offline
STU0236,Yug Vig,Class 10,CBSE,JEE,English,2025-06-06,Hybrid
STU0237,Hemal Brar,Class 12,State Board,Foundation,English,2024-10-28,Offline
STU0238,Anusha Pillay,Class 10,CBSE,NEET,Hindi,2026-03-03,Offline
STU0239,Quincy Chakraborty,Class 12,ICSE,Foundation,English,2026-04-09,Offline
STU0240,Meera Nagar,Class 11,State Board,Foundation,English,2025-05-12,Online
STU0241,Qabil Garg,Class 12,ICSE,Foundation,Tamil,2025-05-01,Hybrid
STU0242,Jagdish Pingle,Class 12,State Board,NEET,Tamil,2025-03-16,Offline
STU0243,Vincent Shah,Class 10,ICSE,NEET,English,2025-12-08,Online
STU0244,Qabil Wason,Class 12,State Board,NEET,Hindi,2026-02-28,Offline
STU0245,Aishani Parmar,Class 11,CBSE,Foundation,Tamil,2026-02-22,Offline
STU0246,Isaac Samra,Class 9,State Board,Foundation,Hindi,2025-10-03,Online
STU0247,Hamsini Saraf,Class 12,ICSE,JEE,Hindi,2026-01-21,Offline
STU0248,Faras Narayan,Class 10,State Board,JEE,Hindi,2026-03-28,Offline
STU0249,Anthony Kamdar,Class 10,State Board,JEE,Hindi,2026-01-18,Hybrid
STU0250,Arya Shukla,Class 9,ICSE,NEET,English,2025-09-21,Hybrid
STU0251,Neha Gulati,Class 11,State Board,JEE,English,2025-04-08,Offline
STU0252,Arin Nayar,Class 11,State Board,NEET,English,2026-04-12,Online
STU0253,Nandini Gupta,Class 10,State Board,NEET,Hindi,2025-10-16,Hybrid
STU0254,Falan Buch,Class 11,CBSE,NEET,Tamil,2024-12-22,Offline
STU0255,Mugdha Dhawan,Class 11,CBSE,NEET,English,2024-08-11,Online
STU0256,Tamanna Kadakia,Class 10,State Board,Foundation,Hindi,2024-10-14,Offline
STU0257,Leena Sen,Class 11,CBSE,NEET,English,2026-02-27,Offline
STU0258,Anay Sharaf,Class 9,ICSE,NEET,Hindi,2026-02-14,Hybrid
STU0259,Ekani Ramesh,Class 11,State Board,NEET,Hindi,2025-09-25,Offline
STU0260,Vanya Gulati,Class 9,State Board,JEE,Tamil,2025-11-22,Online
STU0261,Sathvik Parmar,Class 11,State Board,JEE,Hindi,2026-02-13,Online
STU0262,Madhav Pau,Class 12,State Board,NEET,Hindi,2026-04-03,Offline
STU0263,Yashoda Kohli,Class 9,CBSE,JEE,English,2026-05-27,Offline
STU0264,Qarin Krishnan,Class 12,CBSE,JEE,English,2024-11-12,Hybrid
STU0265,Unnati Manda,Class 10,ICSE,NEET,Tamil,2025-10-25,Hybrid
STU0266,Zilmil Kapoor,Class 12,State Board,Foundation,Hindi,2025-04-02,Online
STU0267,Girik Sani,Class 12,State Board,JEE,Tamil,2024-10-10,Hybrid
STU0268,Vaishnavi Majumdar,Class 12,ICSE,JEE,Hindi,2025-07-02,Offline
STU0269,Kabir Setty,Class 10,ICSE,NEET,English,2024-10-24,Offline
STU0270,Falak Bhalla,Class 9,State Board,NEET,Hindi,2024-11-20,Hybrid
STU0271,Arunima Warrior,Class 11,CBSE,NEET,Tamil,2025-08-04,Online
STU0272,Vyanjana Bhatt,Class 9,ICSE,JEE,Hindi,2026-04-13,Online
STU0273,Ayush Sunder,Class 9,CBSE,NEET,English,2025-12-05,Online
STU0274,Warinder Bandi,Class 10,CBSE,Foundation,English,2025-11-10,Hybrid
STU0275,Dev Kunda,Class 10,CBSE,NEET,English,2026-07-15,Hybrid
STU0276,Falan Kota,Class 9,ICSE,JEE,English,2025-03-02,Hybrid
STU0277,Ranbir Chakrabarti,Class 11,CBSE,JEE,Hindi,2026-01-22,Online
STU0278,Upkaar Sangha,Class 10,CBSE,NEET,English,2026-04-20,Hybrid
STU0279,Viraj Handa,Class 11,CBSE,JEE,Tamil,2025-09-04,Online
STU0280,Udyati Dutta,Class 10,State Board,NEET,Hindi,2025-10-12,Online
STU0281,Radha Sami,Class 9,ICSE,NEET,Tamil,2026-01-30,Hybrid
STU0282,Rachit Nath,Class 9,ICSE,Foundation,English,2025-03-21,Hybrid
STU0283,Chakradev Pandit,Class 9,State Board,Foundation,Hindi,2026-05-23,Offline
STU0284,Neel Kant,Class 12,State Board,JEE,English,2025-06-01,Offline
STU0285,Qushi Sekhon,Class 12,ICSE,Foundation,English,2025-12-11,Offline
STU0286,Nisha Dhingra,Class 12,CBSE,JEE,Tamil,2025-07-03,Hybrid
STU0287,Dhriti Rattan,Class 10,CBSE,JEE,Tamil,2025-02-08,Hybrid
STU0288,Sai Dara,Class 11,ICSE,Foundation,Hindi,2024-11-17,Offline
STU0289,Edhitha Mutti,Class 12,State Board,Foundation,Tamil,2025-06-17,Online
STU0290,Harish Varghese,Class 9,State Board,Foundation,Hindi,2026-03-12,Hybrid
STU0291,Aryan Menon,Class 10,ICSE,NEET,English,2026-06-09,Offline
STU0292,Ojasvi Ramakrishnan,Class 11,ICSE,NEET,Tamil,2026-05-11,Hybrid
STU0293,Nihal Purohit,Class 9,ICSE,NEET,Tamil,2026-06-01,Hybrid
STU0294,Kiaan Sibal,Class 11,ICSE,JEE,Hindi,2025-06-22,Offline
STU0295,Jeet Sanghvi,Class 9,CBSE,JEE,English,2025-05-18,Offline
STU0296,Aahana Chacko,Class 9,State Board,Foundation,Tamil,2025-10-22,Online
STU0297,Zaid Raghavan,Class 9,State Board,Foundation,Hindi,2026-04-24,Offline
STU0298,Faris Shah,Class 9,ICSE,NEET,Hindi,2026-05-16,Offline
STU0299,Amaira Singh,Class 9,ICSE,Foundation,Tamil,2024-11-15,Offline
STU0300,Yashvi Pai,Class 9,State Board,Foundation,English,2026-06-23,Online
STU0301,Anirudh Comar,Class 12,CBSE,JEE,Tamil,2026-02-15,Hybrid
STU0302,Jonathan Som,Class 11,CBSE,NEET,Hindi,2025-04-25,Online
STU0303,Daniel Srivastava,Class 12,State Board,Foundation,Hindi,2025-02-18,Hybrid
STU0304,Eiravati Pant,Class 9,State Board,Foundation,Hindi,2026-04-06,Offline
STU0305,Gayathri Bora,Class 9,CBSE,NEET,Hindi,2025-04-30,Offline
STU0306,Hemangini Chand,Class 11,ICSE,JEE,English,2024-10-02,Online
STU0307,Garima Bath,Class 12,CBSE,JEE,Hindi,2025-08-17,Hybrid
STU0308,Zaid Bora,Class 9,CBSE,Foundation,Hindi,2024-12-30,Online
STU0309,Tripti Golla,Class 12,ICSE,NEET,Tamil,2026-07-15,Online
STU0310,Akshay Mall,Class 11,ICSE,Foundation,Tamil,2025-03-19,Hybrid
STU0311,Kai Bhatt,Class 9,CBSE,JEE,English,2024-12-30,Hybrid
STU0312,Max Sanghvi,Class 9,State Board,JEE,Tamil,2025-07-24,Offline
STU0313,Alexander Kanda,Class 12,ICSE,Foundation,Tamil,2026-06-01,Offline
STU0314,Finn Dada,Class 11,CBSE,Foundation,English,2025-05-07,Offline
STU0315,Veda Sehgal,Class 12,CBSE,NEET,Hindi,2026-03-30,Hybrid
STU0316,Sudiksha Parikh,Class 12,State Board,Foundation,Tamil,2025-03-13,Online
STU0317,Devansh Doshi,Class 10,ICSE,Foundation,English,2026-05-16,Online
STU0318,Yashoda Deo,Class 10,ICSE,JEE,English,2025-11-03,Offline
STU0319,Barkha Lanka,Class 11,ICSE,JEE,English,2024-10-27,Offline
